Depth,ROP,WOB,RPM
0,83.49704627310695,28352.50468150907,116.44817895308162
100,66.70382658193591,27332.340463056727,92.50244633014684
200,65.5197286019977,28299.680565874958,124.47169440300907
300,48.75901925669827,26704.191443297525,151.80763261218564
400,55.662914275381155,26875.47842043356,116.63003246601026
500,84.65389755519094,24202.21267993323,89.36848541230631
600,73.03105666100579,27744.400627295992,117.54479334206277
700,81.66500829925106,22701.14748321945,114.95481095224241
800,80.3999243982983,27708.895176527283,113.69336734956416
900,59.9937971942706,26298.459959587963,129.18114849965698
1000,94.29847728653968,27936.462773627445,135.67412179503586
1100,89.49732595601229,24377.92916479581,125.25378617801624
1200,64.36233557876965,21701.606579903397,113.00412872993397
1300,34.31794700640118,26122.836732566153,131.88518176554444
1400,66.43467910055924,24385.218327857256,92.59255538178638
1500,72.38296262121449,22548.608291973793,104.25915818899009
1600,64.3228096522431,28919.958174236424,105.93058332097405
1700,67.78477903315283,31003.095567855104,114.53574028102098
1800,61.713419636622056,25007.621410563625,122.60101993730257
1900,79.21634718353847,26810.572931946364,111.98930577494075
2000,70.63633240368556,26230.53595830047,101.40946308246588
2100,79.51514062942954,25352.753945059492,129.62275427044196
2200,82.22203346207937,28659.343034720052,111.46814916692959
2300,48.25676435913353,29525.353651071546,116.5319338130655
2400,62.29477789165897,24828.48202683599,123.26601618213861
2500,63.75970706359456,27111.917167737258,115.58316411884421
2600,95.71372359688783,30211.332584834734,115.64907542116435
2700,71.49005366900325,28722.59050803743,130.45710130653745
2800,78.12560596363065,29094.243596001223,117.27054211855565
2900,51.19308230725488,30419.963268606036,127.94195478685734
3000,71.43215452497522,30387.112930933123,123.17001166477584
3100,79.78292982116258,29571.606575757665,145.25331316280375
3200,78.61965085060156,27362.34353695295,121.14120126803695
3300,76.23399438916351,26043.79245635477,124.5695990522616
3400,70.13000506495126,27258.694413282963,131.5248507099455
3500,70.61568620625451,25663.98328494158,115.95426639925255
3600,53.067338252902104,22118.782817473293,105.43220354905839
3700,60.99467114812856,26301.2523354999,107.88781628314815
3800,72.30943956388164,27893.81560959305,108.03239611746268
3900,62.840241930737946,25531.826455584553,100.74503547704923
4000,76.88838247032785,26518.050531903482,119.76707753802826
4100,74.66782550264863,26614.90821008317,105.55725177926374
4200,83.67370254721993,30392.14193554722,117.9227923180277
4300,79.58253826152571,26101.406814937745,112.61988334434045
4400,72.27261409134567,30391.583455458636,114.37567760061228
4500,77.47980434061915,20218.773770380067,123.34084971743285
4600,80.05102162299656,30369.63945332259,106.87151313417178
4700,64.92562714092017,30243.51528715656,124.58336568905159
4800,66.70669001680199,29255.636683472978,138.5096179995843
4900,69.0317396260659,21970.20499199057,120.14663624427638
5000,65.2446945583565,29547.2174880562,103.26856472091296
5100,80.15686945063484,26874.702060811873,105.77472982990305
5200,63.72689458322696,20676.65640018835,111.27605648822326
5300,82.51651471399825,30245.44426958674,106.07664554395652
5400,66.33026801119617,30610.43269637242,100.13229535584925
5500,74.72396642839358,22238.71982033707,117.31610915442538
5600,71.66415148762889,27438.55268825028,111.68204002411302
5700,60.24020191708333,30471.477803610458,117.84581325337088
5800,69.80110270509209,30075.403283642867,132.79581118322932
5900,73.33643531450598,29090.15262789881,111.45470749113461
6000,69.35707312889502,20381.86780025623,97.21869992979533
6100,56.57293441493716,28823.856916589535,109.01661261619674
6200,87.01429243526172,26454.740254065142,126.55637825674964
6300,70.87699482861736,29489.643821796235,125.15155406075432
6400,62.05697424836478,27640.40364608456,122.77959471420351
6500,86.20768023467275,26950.295974277837,105.62939915256845
6600,76.17389809720325,28602.25962352309,126.27853927049048
6700,57.99830003598391,26570.216572320605,129.653486170556
6800,59.55505253600121,26939.306800270144,104.56867555165036
6900,67.77605280112158,25611.940002178097,114.37644853686213
7000,72.97306978849822,22986.477522038593,145.30602945523168
7100,76.22799831463922,28419.63368442818,103.90188585304918
7200,79.50178479528567,24984.924200823574,89.42369996134413
7300,75.39572406400143,26498.020334898163,135.74356651697198
7400,83.46745978640996,27717.434896134833,132.0490715755684
7500,71.2679315968047,21786.955891086403,108.14549014633863
7600,62.403606195217776,22346.62774080794,113.3051232719787
7700,69.96649130341027,26250.65355847699,96.62597424716571
7800,69.31019339654208,28136.408705749138,116.33428408914553
7900,44.217845703375076,28860.095676622903,132.488705730571
8000,64.38633140904341,23021.71376031023,106.86092737362583
8100,73.1420373295045,28591.578711032038,128.15652968179438
8200,65.75784434788214,26387.32595420916,121.95585786085648
8300,63.53790638177001,24792.106887258808,123.6672533632171
8400,79.11376195804564,25378.620359851575,107.73536229120448
8500,60.834541752245606,29004.643330100414,109.68063725599758
8600,77.11622650470824,27685.014462713927,87.29841348292898
8700,56.67255529211715,27125.7663068883,106.49995881234841
8800,97.60761935726184,27608.73934701975,132.45228187046888
8900,67.84314473098743,29320.244441540483,101.0600170884659
9000,66.76734710703944,26757.251081491693,103.29547519214643
9100,81.43065902889919,27135.79721613559,124.60284735560685
9200,65.81295159193552,29845.426850344513,121.0415243798964
9300,84.54927808325667,26171.033439342104,125.34794874694451
9400,73.71593830486526,28545.351488201704,97.55169189864394
9500,68.81602099453771,25740.738798317147,153.4608692395052
9600,67.74994096629625,25960.33164647054,96.76369938749124
9700,82.07592170430262,26739.875608000908,117.31370970601102
9800,72.30487214603502,28288.182132466914,112.6201675619712
9900,74.3230873119077,29985.454906377672,97.20037723952429
